year,month,co2
2015,1,406.8418339243025
2015,2,407.128377170966
2015,3,407.4001209167085
2015,4,406.936245913147
2015,5,404.7528078059295
2015,6,400.53966221615747
2015,7,396.0563078506025
2015,8,393.988954963751
2015,9,397.268074274093
2015,10,402.40895525828046
2015,11,406.453150373793
2015,12,408.54835860930405
2016,1,409.7463898821725
2016,2,410.28115847662696
2016,3,410.760236468031
2016,4,410.5384176856795
2016,5,408.5591628246255
2016,6,404.855336203709
2016,7,400.636296827921
2016,8,397.85818373250254
2016,9,401.094436536599
2016,10,406.201624692918
2016,11,410.0375188688955
2016,12,412.0127350940545
2017,1,413.07193153164746
2017,2,413.45159931020953
2017,3,413.78476552906045
2017,4,413.41166439967196
2017,5,411.277825459116
2017,6,407.45507639301
2017,7,403.1655990401755
2017,8,400.4569973886085
2017,9,403.7628409331195
2017,10,408.98802095239296
2017,11,412.919641922549
2017,12,414.9508579374
2018,1,416.05763576189554
2018,2,416.477152795765
2018,3,416.84576625753596
2018,4,416.4843249311785
2018,5,414.33846002595897
2018,6,410.5104746044505
2018,7,406.2901131774235
2018,8,403.556209038543
2018,9,406.9038284220265
2018,10,412.2066495173355
2018,11,416.17411722595955
2018,12,418.20956241271847
2019,1,419.3118886595855
2019,2,419.7257523271975
2019,3,420.0961159641775
2019,4,419.691397153297
2019,5,417.4988650048545
2019,6,413.63771357720054
2019,7,409.4690415212435
2019,8,406.7041832920055
2019,9,410.09191890489546
2019,10,415.474797845022
2019,11,419.483209867155
2019,12,421.53159278967553
2020,1,422.62856972321754
2020,2,423.049734209331
2020,3,423.43024003178004
2020,4,422.98807331913804
2020,5,420.753793754568
2020,6,416.8635182779105
2020,7,412.74734097128146
2020,8,409.9533043089235
2020,9,413.3809454128995
2020,10,418.843101818327
2020,11,422.89207884493896
2020,12,424.951405122407
2021,1,426.0465779192225
2021,2,426.46554643487696
2021,3,426.85080524258797
2021,4,426.3695782135475
2021,5,424.089821854664
2021,6,420.1701074103755
2021,7,416.07761083444
2021,8,413.27782096844146
2021,9,416.745074831851
2021,10,422.28742054935253
2021,11,426.3798996943165
2021,12,428.4503597217095
2022,1,429.532244504738
2022,2,429.9590001687885
2022,3,430.33810526263846
2022,4,429.8286016297035
2022,5,427.4951022888015
2022,6,423.5539962999785
2022,7,419.48409229785204
2022,8,416.675782782906
2022,9,420.17999455377253
2022,10,425.79968410281697
2022,11,429.93310035948696
2022,12,432.01247798934946
2023,1,433.0806777000675
2023,2,433.495706939893
2023,3,433.8848487329375
2023,4,433.34563264113547
2023,5,430.97357659576903
2023,6,426.993945616518
2023,7,422.94706827846096
2023,8,420.129548944227
2023,9,423.6503735342735
2023,10,429.3693801324485
2023,11,433.5449917753655
2023,12,435.6679265336685
2024,1,436.688249917941
2024,2,437.10203890917796
2024,3,437.491885870047
2024,4,436.92335503946447
2024,5,434.504917709757
2024,6,430.49504780528
2024,7,426.4684953015935
2024,8,423.64489204209747
2024,9,427.1754526462975
2024,10,433.0009501499385
2024,11,437.218904325442
2024,12,439.3680299459355
2025,1,440.3674120531735
2025,2,440.7777830211615
2025,3,441.1607023259625
2025,4,440.5627310890665
2025,5,438.0976573067375
2025,6,434.0576606353735
2025,7,430.07253322486747
2025,8,427.2218601518415
2025,9,430.7738579917815
2025,10,436.69490911379796
2025,11,440.95574839177095
2025,12,443.11544497918
2026,1,444.113544708032
2026,2,444.5172638583715
2026,3,444.8935376364325
2026,4,444.266335418773
2026,5,441.754784487216
2026,6,437.6849225587665
2026,7,433.7212990167815
2026,8,430.8775450469525
2026,9,434.4538050303205
2026,10,440.4552045204925
2026,11,444.759273174464
2026,12,446.9298215407215
2027,1,447.926853400627
2027,2,448.3240254935145
2027,3,448.693730258238
2027,4,448.03724104049
2027,5,445.4790388057785
2027,6,441.37919222830453
2027,7,437.4240428666185
2027,8,434.6280724099585
2027,9,438.20311799302954
2027,10,444.2823862720255
2027,11,448.62973147863954
2027,12,450.81102738902
2028,1,451.8068664720395
2028,2,452.197370845382
2028,3,452.5604498825795
2028,4,451.87457697653497
2028,5,449.269630641572
2028,6,445.139875614283
2028,7,441.203753111822
2028,8,438.45969452769896
2028,9,442.0270360510135
2028,10,448.1772740866285
2028,11,452.56846173761403
2028,12,454.7608196170305
2029,1,455.755704198584
2029,2,456.1397504151505
2029,3,456.496356984047
2029,4,455.78112453853
2029,5,453.1293297995075
2029,6,448.96960231242247
2029,7,445.0326233392525
2029,8,442.3325626745645
2029,9,445.919950264921
2029,10,452.141259412143
2029,11,456.5762850718305
2029,12,458.779639756219
2030,1,459.773417477366
2030,2,460.1509838728995
2030,3,460.50115188376003
2030,4,459.7566228326665
2030,5,457.0580981764345
2030,6,452.8686748509135
2030,7,448.92489411251097
2030,8,446.2869817612315
2030,9,449.88002506072746
2030,10,456.169357834955
2030,11,460.647858460684
2030,12,462.860878772368
2031,1,463.8520150211545
2031,2,464.2215142110195
2031,3,464.560759470601
2031,4,463.78770523129947
2031,5,461.04040779116747
2031,6,456.822374039916
2031,7,452.866818086897
2031,8,450.294800325039
2031,9,453.8964365225535
2031,10,460.248804127425
2031,11,464.773788203206
2031,12,466.997340282123
2032,1,467.9853977078705
2032,2,468.347436697612
2032,3,468.662175322033
2032,4,467.8755925605325
2032,5,465.0806013203555
2032,6,460.83395890295003
2032,7,456.839874266143
2032,8,454.358749278705
2032,9,457.9663997976245
2032,10,464.380993940409
2032,11,468.950549715164
2032,12,471.1833486041005
2033,1,472.168221486957
2033,2,472.5217720395015
2033,3,472.813786948343
2033,4,472.0101647275935
2033,5,469.1668218293885
2033,6,464.8788614486325
2033,7,460.894750305493
2033,8,458.4388651786615
2033,9,462.06600464056453
2033,10,468.5576696136475
2033,11,473.1718976559485
2033,12,475.41405848309
2034,1,476.3956868265085
2034,2,476.7410564777105
2034,3,477.0244859503165
2034,4,476.19053407894603
2034,5,473.29946333938346
2034,6,468.95143965022896
2034,7,464.977050413117
2034,8,462.5581834774095
2034,9,466.21383332786047
2034,10,472.782819396138
2034,11,477.442243672323
2034,12,479.6937349673185
2035,1,480.67269533547
2035,2,481.010290995783
2035,3,481.2855325471515
2035,4,480.42163777192195
2035,5,477.4832532101865
2035,6,473.069623916299
2035,7,469.111065899994
2035,8,466.729056050796
2035,9,470.4132620437835
2035,10,477.05936522606
2035,11,481.76379417148996
2035,12,484.02469683381196
2036,1,485.0009134401435
2036,2,485.330766361503
2036,3,485.5978736762635
2036,4,484.70420481093754
2036,5,481.723544551474
2036,6,477.24650103310296
2036,7,473.2973534186365
2036,8,470.9523410367665
2036,9,474.665175369204
2036,10,481.3960783624005
2036,11,486.137941043794
2036,12,488.40849572726
2037,1,489.3822943177955
2037,2,489.70462784047845
2037,3,489.963847945554
2037,4,489.040688530539
2037,5,486.0212506350825
2037,6,481.4748913721615
2037,7,477.56849376629
2037,8,475.2300875339485
2037,9,478.9714413236625
2037,10,485.7900724326005
2037,11,490.565993996898
2037,12,492.8461545598645
2038,1,493.81754401359797
2038,2,494.132413480878
2038,3,494.3838309395445
2038,4,493.43137428745047
2038,5,490.373437134031
2038,6,485.7545904424555
2038,7,481.896007576925
2038,8,479.563237047037
2038,9,483.333395490128
2038,10,490.240086267073
2038,11,495.050088651746
2038,12,497.3401868568875
2039,1,498.3095049321515
2039,2,498.61721862754996
2039,3,498.86107433974405
2039,4,497.879563178471
2039,5,494.78329371003497
2039,6,490.0928367026005
2039,7,486.280080657417
2039,8,483.95361787028
2039,9,487.75247026341503
2039,10,494.7464514512855
2039,11,499.5901266476495
2039,12,501.8898498377925
2040,1,502.8569562545415
2040,2,503.15732821574545
2040,3,503.3935720404235
2040,4,502.3831431608545
2040,5,499.24882430151
2040,6,494.48933927573046
2040,7,490.719473605125
2040,8,488.399739780328
2040,9,492.22666495942804
2040,10,499.308093850489
2040,11,504.185111283474
2040,12,506.49423231390654
2041,1,507.45895445422605
2041,2,507.751598796113
2041,3,507.979756899219
2041,4,506.939721329701
2041,5,503.76680269109397
2041,6,498.936783058794
2041,7,495.189174115976
2041,8,492.89637628067646
2041,9,496.75075893382245
2041,10,503.920870032791
2041,11,508.83078888161947
2041,12,511.1491266510835
2042,1,512.1106392394665
2042,2,512.3954287203295
2042,3,512.615423670678
2042,4,511.545973560271
2042,5,508.33491480564146
2042,6,503.433788223184
2042,7,499.7102311395355
2042,8,497.442992484926
2042,9,501.3242685629875
2042,10,508.58191793047354
2042,11,513.5243184449025
2042,12,515.854191130331
2043,1,516.8104847571215
2043,2,517.087476837498
2043,3,517.299383463037
2043,4,516.2006584998651
2043,5,512.9516223284161
2043,6,507.969516222815
2043,7,504.28015795017996
2043,8,502.0378623610475
2043,9,505.945683731739
2043,10,513.290187208592
2043,11,518.2646580127665
2043,12,520.6505639190525
2044,1,521.5566114226831
2044,2,521.825558752894
2044,3,522.0292961316866
2044,4,520.901432996684
2044,5,517.6139745687044
2044,6,512.5739324132135
2044,7,508.891506008506
2044,8,506.6800607540655
2044,9,510.61474355639405
2044,10,518.046043039408
2044,11,523.052953512134
2044,12,525.4665071358579
2045,1,526.3519208290049
2045,2,526.613334452545
2045,3,526.809457431121
2045,4,525.65308337869
2045,5,522.321495827816
2045,6,517.21971208936
2045,7,513.5551183762025
2045,8,511.3742662127655
2045,9,515.335600655586
2045,10,522.8486077911159
2045,11,527.8919599870885
2045,12,530.315474736857
2046,1,531.197421153428
2046,2,531.4510953089109
2046,3,531.639414149002
2046,4,530.4545107170959
2046,5,527.0789255643131
2046,6,521.909168453899
2046,7,518.268964504407
2046,8,516.118516134519
2046,9,520.1169842429125
2046,10,527.7059584448285
2046,11,532.780797434254
2046,12,535.2145153714055
2047,1,536.0939713822361
2047,2,536.3396457325739
2047,3,536.52053019144
2047,4,535.307572554339
2047,5,531.8885298093626
2047,6,526.6528704609884
2047,7,523.0357681682995
2047,8,520.9155874265005
2047,9,524.9848227021184
2047,10,532.6155546885765
2047,11,537.7217375797995
2047,12,540.1656186984325
2048,1,541.04299488354
2048,2,541.280357555868
2048,3,541.4538941217866
2048,4,540.213101517313
2048,5,536.7509435819754
2048,6,531.450330745719
2048,7,527.856062546675
2048,8,525.7660589742795
2048,9,529.9058954072575
2048,10,537.5784229095846
2048,11,542.716071662318
2048,12,545.1703572674639
2049,1,546.0443752095605
2049,2,546.2753385492015
2049,3,546.4418328865349
2049,4,545.1735946393925
2049,5,541.6687467119434
2049,6,536.3039312153264
2049,7,532.732301230457
2049,8,530.6721886092495
2049,9,534.8432696963785
2049,10,542.5961194453384
2049,11,547.7649530347645
2049,12,550.2294676290185
2050,1,551.099589924043
2050,2,551.324506856949
2050,3,551.483949915102
2050,4,550.1884406123404
2050,5,546.641233844913
2050,6,541.220799069435
2050,7,537.6632444510185
2050,8,535.6321676733126
2050,9,539.8294790753621
2050,10,547.6659392262111
2050,11,552.8650596413515
2050,12,555.33918803415
2051,1,556.2198631047386
2051,2,556.423158901992
2051,3,556.5749576007074
2051,4,555.2516009774015
2051,5,551.661556971904
2051,6,546.1789716402925
2051,7,542.6363449633141
2051,8,540.6393197969564
2051,9,544.862750163785
2051,10,552.7842434910875
2051,11,558.0135404526685
2051,12,560.4976209785
2052,1,561.3884184438755
2052,2,561.5711941081145
2052,3,561.7157867387925
2052,4,560.365219792135
2052,5,556.7331865163395
2052,6,551.189434768035
2052,7,547.661897949798
2052,8,545.698118419009
2052,9,549.9481131285786
2052,10,557.9521459419366
2052,11,563.211615666522
2052,12,565.7054504247445
2053,1,566.5863899300471
2053,2,566.7688322272111
2053,3,566.9062640684549
2053,4,565.5286920206265
2053,5,561.8549885469674
2053,6,556.2444886526455
2053,7,552.7381240798135
2053,8,550.8073252275744
2053,9,555.1169668377249
2053,10,563.161752015915
2053,11,568.4593044317545
2053,12,570.9628978933495
2054,1,571.8336956457705
2054,2,572.0162872535825
2054,3,572.1467373691435
2054,4,570.7425175020245
2054,5,567.0276375609915
2054,6,561.347024793333
2054,7,557.8660917831445
2054,8,555.968180711797
2054,9,560.337271392772
2054,10,568.43133794753
2054,11,573.758446245911
2054,12,576.272026850542
2055,1,577.1322961106525
2055,2,577.316073411605
2055,3,577.439838056029
2055,4,576.0093809121036
2055,5,572.253796952516
2055,6,566.5039256931066
2055,7,563.0481637023515
2055,8,561.1563599931925
2055,9,565.610743733782
2055,10,573.754370464142
2055,11,579.1098661946025
2055,12,581.633175477127
2056,1,582.4828252336724
2056,2,582.6675899223139
2056,3,582.784537375588
2056,4,581.3279306500235
2056,5,577.5318690846141
2056,6,571.7292005076281
2056,7,568.2826195104335
2056,8,566.3446969964905
2056,9,570.936128710615
2056,10,579.12920640126
2056,11,584.513207530117
2056,12,587.0465369167815
2057,1,587.9041504368865
2057,2,588.07220886647
2057,3,588.1828053511019
2057,4,586.7006836041995
2057,5,582.8648620317106
2057,6,577.021507433964
2057,7,573.5731805920625
2057,8,571.6763132453641
2057,9,576.291948970854
2057,10,584.5597815257145
2057,11,589.9722770948815
2057,12,592.5154715001995
2058,1,593.3848916229315
2058,2,593.5328838257924
2058,3,593.6397688685245
2058,4,592.1211578498201
2058,5,588.254439751569
2058,6,582.347410502265
2058,7,578.9205830810685
2058,8,577.071478727813
2058,9,581.696954470658
2058,10,590.0455590270985
2058,11,595.4861753843045
2058,12,598.0391154139475
2059,1,598.9200076379784
2059,2,599.0479692176505
2059,3,599.1523951910385
2059,4,597.575858307858
2059,5,593.69877598563
2059,6,587.7288121218285
2059,7,584.323379425754
2059,8,582.5217884818339
2059,9,587.1573681637781
2059,10,595.584985782882
2059,11,601.0554009790806
2059,12,603.6185494493965
2060,1,604.5111871045275
2060,2,604.6196883220771
2060,3,604.722117317674
2060,4,603.1168729986721
2060,5,599.2014461607395
2060,6,593.1695459550206
2060,7,589.785546439114
2060,8,588.031185347035
2060,9,592.677006180578
2060,10,601.174956424966
2060,11,606.6829999115121
2060,12,609.25623155231
2061,1,610.1592422357055
2061,2,610.249519747988
2061,3,610.3499402227551
2061,4,608.7160836667845
2061,5,604.7680473843204
2061,6,598.6706159400985
2061,7,595.3071830419655
2061,8,593.5988214487035
2061,9,598.2548628997511
2061,10,606.8262900003205
2061,11,612.3678018887385
2061,12,614.9511254685269
2062,1,615.847088635746
2062,2,615.936838073513
2062,3,616.0354430265199
2062,4,614.3733313434645
2062,5,610.3950539106735
2062,6,604.230423918758
2062,7,600.8879813296485
2062,8,599.225097678433
2062,9,603.913199754223
2062,10,612.5361214677275
2062,11,618.1102845741
2062,12,620.703533285266
2063,1,621.5924720012849
2063,2,621.6815474185305
2063,3,621.778217173772
2063,4,620.08790877622
2063,5,616.0794328302685
2063,6,609.84802942855
2063,7,606.526387511002
2063,8,604.908304893079
2063,9,609.632135233084
2063,10,618.3048353088604
2063,11,623.9085576457355
2063,12,626.511623529213
2064,1,627.3936077806355
2064,2,627.4820381048095
2064,3,627.5768830359646
2064,4,625.858719426941
2064,5,621.7992922646175
2064,6,615.523282094002
2064,7,612.2224196878656
2064,8,610.648943570826
2064,9,615.4085731717059
2064,10,624.1310364000265
2064,11,629.764348496187
2064,12,632.3777387412656
2065,1,633.2530596090805
2065,2,633.3414657772851
2065,3,633.434903216785
2065,4,631.689447236065
2065,5,627.5873665456005
2065,6,621.260373249338
2065,7,617.97975583757
2065,8,616.450417261274
2065,9,621.245488458281
2065,10,630.017145698755
2065,11,635.6795044929005
2065,12,638.3029390088104
2066,1,639.1709491936494
2066,2,639.259401077201
2066,3,639.351141168945
2066,4,637.5782996273795
2066,5,633.4398749718746
2066,6,627.057056327411
2066,7,623.7953446736905
2066,8,622.309650458507
2066,9,627.1398747996185
2066,10,635.9604623224615
2066,11,641.6518582121389
2066,12,644.2855437369155
2067,1,645.1466609780975
2067,2,645.2355192336665
2067,3,645.325994235312
2067,4,643.5263933758824
2067,5,639.35233277462
2067,6,632.9147715026861
2067,7,629.6720659984305
2067,8,628.229870955186
2067,9,633.0951644322245
2067,10,641.9644698512465
2067,11,647.6848165397655
2067,12,650.328776769958
2068,1,651.183149016183
2068,2,651.2724369341324
2068,3,651.3616924971135
2068,4,649.5355459429966
2068,5,645.3261353252069
2068,6,638.8345176100324
2068,7,635.610524526512
2068,8,634.1777060383586
2068,9,639.111375348754
2068,10,648.028985372234
2068,11,653.7780628463975
2068,12,656.4322353285315
2069,1,657.281485345812
2069,2,657.369712588802
2069,3,657.4578327312925
2069,4,655.6054272691265
2069,5,651.3610444852654
2069,6,644.8170411463641
2069,7,641.6236516760725
2069,8,640.1857455864265
2069,9,645.188773699058
2069,10,654.1543986781364
2069,11,659.932132707739
2069,12,662.5965825090475
2070,1,663.4574997013975
2070,2,663.5282365276005
2070,3,663.6153981725155
2070,4,661.7370944048021
2070,5,657.458173729452
2070,6,650.8780460899704
2070,7,647.7032103515195
2070,8,646.2604976911196
2070,9,651.3210374651645
2070,10,660.3446723010385
2070,11,666.1479181070761
2070,12,668.8225870322475
2071,1,669.695104450822
2071,2,669.7484862319425
2071,3,669.834720743185
2071,4,667.9307378299984
2071,5,663.6175878819649
2071,6,657.0016431936175
2071,7,653.8452023478285
2071,8,652.414001209325
2071,9,657.4998131703314
2071,10,666.5976668481189
2071,11,672.4250762464735
2071,12,675.10992320425
2072,1,675.9939914857421
2072,2,676.030209388802
2072,3,676.115602699175
2072,4,674.1862407711965
2072,5,669.8392520406851
2072,6,663.1879631406446
2072,7,660.0497040409334
2072,8,658.6300247350346
2072,9,663.7409644110326
2072,10,672.9012680921765
2072,11,678.7638235529826
2072,12,681.458745322418
2073,1,682.354358600852
2073,2,682.3735782516985
2073,3,682.4581941271974
2073,4,680.50370619673
2073,5,676.1232195303985
2073,6,669.42513198458
2073,7,666.3166331958155
2073,8,664.9085024797835
2073,9,670.0443867790655
2073,10,679.2735270830744
2073,11,685.164091881916
2073,12,687.868887228757
2074,1,688.7759874150499
2074,2,688.7783651726195
2074,3,688.862268201383
2074,4,686.882922957479
2074,5,682.469311156359
2074,6,675.722772029352
2074,7,672.6459893419235
2074,8,671.249447404269
2074,9,676.4101962742195
2074,10,685.7076359791115
2074,11,691.6261192311135
2074,12,694.3408688677159
2075,1,695.2496097853996
2075,2,695.2453930733905
2075,3,695.3287810227484
2075,4,693.3249583106381
2075,5,688.8786871388111
2075,6,682.084521979185
2075,7,679.0390108770565
2075,8,677.6540732309766
2075,9,682.83953075351
2075,10,692.2046124959174
2075,11,698.1507495503835
2075,12,700.875339822381
2076,1,701.7798196205515
2076,2,701.7748921492375
2076,3,701.8577654441735
2076,4,699.829669393531
2076,5,695.351066835633
2076,6,688.5100134545255
2076,7,685.4953043110879
2076,8,684.1220367995795
2076,9,689.3321855800091
2076,10,698.764495290098
2076,11,704.7383099547039
2076,12,707.4729793098616
2077,1,708.3736043571726
2077,2,708.368307542112
2077,3,708.4510362523349
2077,4,706.39920522458
2077,5,701.8888663820475
2077,6,695.001850231184
2077,7,692.017593551598
2077,8,690.655980253156
2077,9,695.890609359639
2077,10,705.3893599617429
2077,11,711.390412681286
2077,12,714.1348167117145
2078,1,715.031344923961
2078,2,715.025339972046
2078,3,715.1076137141855
2078,4,713.0319434760224
2078,5,708.489887290174
2078,6,701.5573591397324
2078,7,698.602837690313
2078,8,697.252717103858
2078,9,702.530474218514
2078,10,712.0762972004045
2078,11,718.104590182924
2078,12,720.85897696242
2079,1,721.751869095352
2079,2,721.7455908561255
2079,3,721.8279027496606
2079,4,719.7290823037144
2079,5,715.156069958126
2079,6,708.1791318497575
2079,7,705.254133986413
2079,8,703.9157016975525
2079,9,709.2358892030866
2079,10,718.8287844079865
2079,11,724.883995034759
2079,12,727.6481162491154
2080,1,728.5371942366755
2080,2,728.532190945667
2080,3,728.612451437034
2080,4,726.4904162739656
2080,5,721.8865692500335
2080,6,714.86563519552
2080,7,711.9698071025275
2080,8,710.6438462826
2080,9,716.006803946661
2080,10,725.647197544612
2080,11,731.7302230767821
2080,12,734.505239405283
2081,1,735.3921682825226
2081,2,735.3927665300839
2081,3,735.4693933435376
2081,4,733.325426123538
2081,5,728.6976816642185
2081,6,721.637179276144
2081,7,718.7622702793415
2081,8,717.449596267125
2081,9,722.85402243982
2081,10,732.5409189739605
2081,11,738.6510827416325
2081,12,741.436222906706
2082,1,742.3222586982375
2082,2,742.325400954245
2082,3,742.398863701767
2082,4,740.232333877975
2082,5,735.580001138765
2082,6,728.480202755936
2082,7,725.625744535536
2082,8,724.3602110636425
2082,9,729.7730053963305
2082,10,739.5068624234921
2082,11,745.644794626619
2082,12,748.4409597478555
2083,1,749.3406044165705
2083,2,749.3334093517165
2083,3,749.404848080191
2083,4,747.2169176322925
2083,5,742.5410777175196
2083,6,735.4035621186115
2083,7,732.56973265189
2083,8,731.3788176798985
2083,9,736.773006906859
2083,10,746.5536003513771
2083,11,752.719069497748
2083,12,755.526013776934
2084,1,756.438963589429
2084,2,756.421014148269
2084,3,756.4900839244915
2084,4,754.2804116122835
2084,5,749.5806918841395
2084,6,742.405622882862
2084,7,739.5900467065165
2084,8,738.4762370003166
2084,9,743.8497493181451
2084,10,753.676541804698
2084,11,759.869417644657
2084,12,762.687226710834
2085,1,763.6068378693735
2085,2,763.585320295517
2085,3,763.6525793036625
2085,4,761.421816189898
2085,5,756.6988731288835
2085,6,749.4874373045091
2085,7,746.6882579544169
2085,8,745.597954043256
2085,9,751.006710173644
2085,10,760.8796470324664
2085,11,767.0999610934346
2085,12,769.9287218598265
2086,1,770.8497592700985
2086,2,770.8299434135686
2086,3,770.8954980774665
2086,4,768.643747714053
2086,5,763.8976213863266
2086,6,756.6503556493255
2086,7,753.8671572032774
2086,8,752.751023038704
2086,9,758.2432820155145
2086,10,768.161754183853
2086,11,774.409078819088
2086,12,777.248501291783
2087,1,778.170757214709
2087,2,778.1523823815385
2087,3,778.216211860985
2087,4,775.94353133626
2087,5,771.17429422613
2087,6,763.8918528699455
2087,7,761.1244019344645
2087,8,759.98286922067
2087,9,765.557711946187
2087,10,775.5214552235129
2087,11,781.7958998630311
2087,12,784.64622075888
2088,1,785.5700405692389
2088,2,785.553402081064
2088,3,785.616025325729
2088,4,783.3229703261604
2088,5,778.5311287492075
2088,6,771.2145203586686
2088,7,768.462815026384
2088,8,767.2964231792901
2088,9,772.952863581595
2088,10,782.961448584021
2088,11,789.2626335760415
2088,12,792.1235199510336
2089,1,793.048570169505
2089,2,793.033212294355
2089,3,793.0943708691675
2089,4,790.780732735134
2089,5,785.9660822074885
2089,6,778.6157058241905
2089,7,775.8855981688534
2089,8,774.7864476585755
2089,9,780.4252050768025
2089,10,790.477512578305
2089,11,796.806376225666
2089,12,799.6781943036385
2090,1,800.6049961990129
2090,2,800.5888105989029
2090,3,800.651984471553
2090,4,798.3186476302631
2090,5,793.4820247131549
2090,6,786.0992455414845
2090,7,783.3958572780975
2090,8,782.3678197024665
2090,9,787.9803112757729
2090,10,798.0744747587235
2090,11,804.4322910610215
2090,12,807.3146909898495
2091,1,808.2428060851835
2091,2,808.2247949410385
2091,3,808.2900162794755
2091,4,805.9365448664109
2091,5,801.077384521916
2091,6,793.6638750480879
2091,7,790.9757225200245
2091,8,790.0647230173705
2091,9,795.61302760404
2091,10,805.7490004560705
2091,11,812.135353741465
2091,12,815.028764331194
2092,1,815.9590416063174
2092,2,815.9401339889096
2092,3,816.00846678232
2092,4,813.6360934514895
2092,5,808.7556419064049
2092,6,801.3132177970585
2092,7,798.640964868751
2092,8,797.843079732782
2092,9,803.3328173415725
2092,10,813.511147873126
2092,11,819.926283988632
2092,12,822.830962582213
2093,1,823.763456899983
2093,2,823.7436671135256
2093,3,823.8120858297884
2093,4,821.423624436305
2093,5,816.521701037652
2093,6,809.0507091740135
2093,7,806.393443550838
2093,8,805.6199590987226
2093,9,811.1386543294365
2093,10,821.358786519648
2093,11,827.8021539609895
2093,12,830.7179269569206
2094,1,831.6527832414655
2094,2,831.632081285088
2094,3,831.700508227702
2094,4,829.2965470433664
2094,5,824.3735292897785
2094,6,816.8749101001274
2094,7,814.232402951835
2094,8,813.4833484336909
2094,9,819.03105731602
2094,10,829.293055357612
2094,11,835.7644005708875
2094,12,838.6913426072715
2095,1,839.6287199425014
2095,2,839.607185367847
2095,3,839.6757109450671
2095,4,837.2564753380445
2095,5,832.3125552275419
2095,6,824.7870330795199
2095,7,822.158801501949
2095,8,821.4339650711424
2095,9,827.0104874619981
2095,10,837.313993169915
2095,11,843.813098092581
2095,12,846.7511642605921
2096,1,847.691099480815
2096,2,847.6688227746574
2096,3,847.737530110458
2096,4,845.303264812505
2096,5,840.3386729510595
2096,6,832.787029123951
2096,7,830.172644189164
2096,8,829.471760006212
2096,9,835.0770619813935
2096,10,845.421793501309
2096,11,851.948434390208
2096,12,854.897591496423
2097,1,855.8401170540405
2097,2,855.817172670941
2097,3,855.8861176734405
2097,4,853.4370332381075
2097,5,848.4519594441219
2097,6,840.8749364835776
2097,7,838.2739151485209
2097,8,837.5969763433579
2097,9,843.230666940451
2097,10,853.6164635771665
2097,11,860.1702158205875
2097,12,863.1304059766439
2098,1,864.075540523668
2098,2,864.0519999021999
2098,3,864.1212468678955
2098,4,861.6575763482435
2098,5,856.652246103877
2098,6,849.0506422858505
2098,7,846.4625595572055
2098,8,845.8094683553065
2098,9,851.4714186319816
2098,10,861.8981449371499
2098,11,868.4787991846135
2098,12,871.4501138816249
2099,1,872.3980363893329
2099,2,872.3741308184875
2099,3,872.443894663233
2099,4,869.9660047921075
2099,5,864.9407496027885
2099,6,857.3154373160085
2099,7,854.7398858504605
2099,8,854.1105800050195
2099,9,859.800491229338
2099,10,870.2678372552075
2099,11,876.8749288046955
2099,12,879.857121446723
2100,1,880.806390368175
2100,2,880.782031758877
2100,3,880.852304885438
2100,4,878.360444419243
2100,5,873.3155859514934
2100,6,865.6675371759295
2100,7,863.1007530267265
2100,8,862.487742386695
2100,9,868.1979457388236
2100,10,878.6915043301481
2100,11,885.3247220827304
2100,12,888.310702114187
